,city,local,parameter,value,unit
1048,Barcelona,2020-02-13T14:00:00+01:00,no2,18,µg/m³
1049,Barcelona,2020-02-13T13:00:00+01:00,no2,22,µg/m³
1050,Barcelona,2020-02-13T12:00:00+01:00,no2,27,µg/m³
1051,Barcelona,2020-02-13T11:00:00+01:00,no2,35,µg/m³
1052,Barcelona,2020-02-13T09:00:00+01:00,no2,62,µg/m³
1053,Barcelona,2020-02-13T08:00:00+01:00,no2,54,µg/m³
1054,Barcelona,2020-02-13T07:00:00+01:00,no2,29,µg/m³
1055,Barcelona,2020-02-13T06:00:00+01:00,no2,21,µg/m³
1056,Barcelona,2020-02-13T05:00:00+01:00,no2,20,µg/m³
1057,Barcelona,2020-02-13T04:00:00+01:00,no2,13,µg/m³
1058,Barcelona,2020-02-13T03:00:00+01:00,no2,12,µg/m³
1059,Barcelona,2020-02-13T02:00:00+01:00,no2,21,µg/m³
1060,Barcelona,2020-02-13T01:00:00+01:00,no2,29,µg/m³
1061,Barcelona,2020-02-13T00:00:00+01:00,no2,30,µg/m³
1062,Barcelona,2020-02-12T23:00:00+01:00,no2,27,µg/m³
1063,Barcelona,2020-02-12T22:00:00+01:00,no2,21,µg/m³
1064,Barcelona,2020-02-12T21:00:00+01:00,no2,31,µg/m³
1065,Barcelona,2020-02-12T20:00:00+01:00,no2,26,µg/m³
1066,Barcelona,2020-02-12T19:00:00+01:00,no2,20,µg/m³
1067,Barcelona,2020-02-12T18:00:00+01:00,no2,20,µg/m³
1068,Barcelona,2020-02-12T17:00:00+01:00,no2,21,µg/m³
1069,Barcelona,2020-02-12T16:00:00+01:00,no2,18,µg/m³
1070,Barcelona,2020-02-12T15:00:00+01:00,no2,18,µg/m³
1071,Barcelona,2020-02-12T14:00:00+01:00,no2,20,µg/m³
1072,Barcelona,2020-02-12T13:00:00+01:00,no2,21,µg/m³
1073,Barcelona,2020-02-12T10:00:00+01:00,no2,25,µg/m³
1074,Barcelona,2020-02-12T09:00:00+01:00,no2,23,µg/m³
1075,Barcelona,2020-02-12T08:00:00+01:00,no2,24,µg/m³
1076,Barcelona,2020-02-12T07:00:00+01:00,no2,17,µg/m³
1077,Barcelona,2020-02-12T06:00:00+01:00,no2,13,µg/m³
1078,Barcelona,2020-02-12T05:00:00+01:00,no2,14,µg/m³
1079,Barcelona,2020-02-12T04:00:00+01:00,no2,26,µg/m³
1080,Barcelona,2020-02-12T03:00:00+01:00,no2,21,µg/m³
1081,Barcelona,2020-02-12T02:00:00+01:00,no2,22,µg/m³
1082,Barcelona,2020-02-12T01:00:00+01:00,no2,21,µg/m³
1083,Barcelona,2020-02-12T00:00:00+01:00,no2,21,µg/m³
1084,Barcelona,2020-02-11T23:00:00+01:00,no2,24,µg/m³
1085,Barcelona,2020-02-11T22:00:00+01:00,no2,29,µg/m³
1086,Barcelona,2020-02-11T21:00:00+01:00,no2,39,µg/m³
1087,Barcelona,2020-02-11T20:00:00+01:00,no2,44,µg/m³
1088,Barcelona,2020-02-11T19:00:00+01:00,no2,38,µg/m³
1089,Barcelona,2020-02-11T18:00:00+01:00,no2,21,µg/m³
1090,Barcelona,2020-02-11T17:00:00+01:00,no2,16,µg/m³
1091,Barcelona,2020-02-11T16:00:00+01:00,no2,23,µg/m³
1092,Barcelona,2020-02-11T15:00:00+01:00,no2,20,µg/m³
1093,Barcelona,2020-02-11T14:00:00+01:00,no2,25,µg/m³
1094,Barcelona,2020-02-11T13:00:00+01:00,no2,43,µg/m³
1095,Barcelona,2020-02-11T12:00:00+01:00,no2,51,µg/m³
1096,Barcelona,2020-02-11T11:00:00+01:00,no2,40,µg/m³
1097,Barcelona,2020-02-11T10:00:00+01:00,no2,49,µg/m³
1098,Barcelona,2020-02-11T09:00:00+01:00,no2,52,µg/m³
1099,Barcelona,2020-02-11T08:00:00+01:00,no2,49,µg/m³
1100,Barcelona,2020-02-11T07:00:00+01:00,no2,34,µg/m³
1101,Barcelona,2020-02-11T06:00:00+01:00,no2,41,µg/m³
1102,Barcelona,2020-02-11T05:00:00+01:00,no2,42,µg/m³
1103,Barcelona,2020-02-11T04:00:00+01:00,no2,38,µg/m³
1104,Barcelona,2020-02-11T03:00:00+01:00,no2,52,µg/m³
1105,Barcelona,2020-02-11T02:00:00+01:00,no2,62,µg/m³
1106,Barcelona,2020-02-11T01:00:00+01:00,no2,65,µg/m³
1107,Barcelona,2020-02-11T00:00:00+01:00,no2,55,µg/m³
1108,Barcelona,2020-02-10T23:00:00+01:00,no2,70,µg/m³
1109,Barcelona,2020-02-10T22:00:00+01:00,no2,78,µg/m³
1110,Barcelona,2020-02-10T21:00:00+01:00,no2,73,µg/m³
1111,Barcelona,2020-02-10T20:00:00+01:00,no2,70,µg/m³
1112,Barcelona,2020-02-10T19:00:00+01:00,no2,51,µg/m³
1113,Barcelona,2020-02-10T18:00:00+01:00,no2,37,µg/m³
1114,Barcelona,2020-02-10T17:00:00+01:00,no2,17,µg/m³
1115,Barcelona,2020-02-10T16:00:00+01:00,no2,11,µg/m³
1116,Barcelona,2020-02-10T15:00:00+01:00,no2,8,µg/m³
1117,Barcelona,2020-02-10T14:00:00+01:00,no2,9,µg/m³
1118,Barcelona,2020-02-10T13:00:00+01:00,no2,15,µg/m³
1119,Barcelona,2020-02-10T12:00:00+01:00,no2,11,µg/m³
1120,Barcelona,2020-02-10T11:00:00+01:00,no2,27,µg/m³
1121,Barcelona,2020-02-10T10:00:00+01:00,no2,40,µg/m³
1122,Barcelona,2020-02-10T09:00:00+01:00,no2,68,µg/m³
1123,Barcelona,2020-02-10T08:00:00+01:00,no2,63,µg/m³
1124,Barcelona,2020-02-10T07:00:00+01:00,no2,44,µg/m³
1125,Barcelona,2020-02-10T06:00:00+01:00,no2,25,µg/m³
1126,Barcelona,2020-02-10T05:00:00+01:00,no2,30,µg/m³
1127,Barcelona,2020-02-10T04:00:00+01:00,no2,35,µg/m³
1128,Barcelona,2020-02-10T03:00:00+01:00,no2,19,µg/m³
1129,Barcelona,2020-02-10T02:00:00+01:00,no2,19,µg/m³
1130,Barcelona,2020-02-10T01:00:00+01:00,no2,27,µg/m³
1131,Barcelona,2020-02-10T00:00:00+01:00,no2,25,µg/m³
1132,Barcelona,2020-02-09T23:00:00+01:00,no2,35,µg/m³
1133,Barcelona,2020-02-09T22:00:00+01:00,no2,35,µg/m³
1134,Barcelona,2020-02-09T21:00:00+01:00,no2,31,µg/m³
1135,Barcelona,2020-02-09T20:00:00+01:00,no2,21,µg/m³
1136,Barcelona,2020-02-09T19:00:00+01:00,no2,24,µg/m³
1137,Barcelona,2020-02-09T18:00:00+01:00,no2,12,µg/m³
1138,Barcelona,2020-02-09T17:00:00+01:00,no2,8,µg/m³
1139,Barcelona,2020-02-09T16:00:00+01:00,no2,8,µg/m³
1140,Barcelona,2020-02-09T15:00:00+01:00,no2,8,µg/m³
1141,Barcelona,2020-02-09T14:00:00+01:00,no2,10,µg/m³
1142,Barcelona,2020-02-09T13:00:00+01:00,no2,16,µg/m³
1143,Barcelona,2020-02-09T12:00:00+01:00,no2,17,µg/m³
1144,Barcelona,2020-02-09T11:00:00+01:00,no2,28,µg/m³
1145,Barcelona,2020-02-09T10:00:00+01:00,no2,48,µg/m³
1146,Barcelona,2020-02-09T09:00:00+01:00,no2,43,µg/m³
1147,Barcelona,2020-02-09T08:00:00+01:00,no2,45,µg/m³
1148,Barcelona,2020-02-09T07:00:00+01:00,no2,48,µg/m³
1149,Barcelona,2020-02-09T06:00:00+01:00,no2,48,µg/m³
1150,Barcelona,2020-02-09T05:00:00+01:00,no2,52,µg/m³
1151,Barcelona,2020-02-09T04:00:00+01:00,no2,43,µg/m³
1152,Barcelona,2020-02-09T03:00:00+01:00,no2,51,µg/m³
1153,Barcelona,2020-02-09T02:00:00+01:00,no2,40,µg/m³
1154,Barcelona,2020-02-09T01:00:00+01:00,no2,25,µg/m³
1155,Barcelona,2020-02-09T00:00:00+01:00,no2,34,µg/m³
1156,Barcelona,2020-02-08T23:00:00+01:00,no2,63,µg/m³
1157,Barcelona,2020-02-08T22:00:00+01:00,no2,56,µg/m³
1158,Barcelona,2020-02-08T21:00:00+01:00,no2,38,µg/m³
1159,Barcelona,2020-02-08T20:00:00+01:00,no2,36,µg/m³
1160,Barcelona,2020-02-08T19:00:00+01:00,no2,30,µg/m³
1161,Barcelona,2020-02-08T18:00:00+01:00,no2,25,µg/m³
1162,Barcelona,2020-02-08T17:00:00+01:00,no2,28,µg/m³
1163,Barcelona,2020-02-08T16:00:00+01:00,no2,30,µg/m³
1164,Barcelona,2020-02-08T15:00:00+01:00,no2,41,µg/m³
1165,Barcelona,2020-02-08T14:00:00+01:00,no2,51,µg/m³
1166,Barcelona,2020-02-08T13:00:00+01:00,no2,26,µg/m³
1167,Barcelona,2020-02-08T12:00:00+01:00,no2,58,µg/m³
1168,Barcelona,2020-02-08T11:00:00+01:00,no2,70,µg/m³
1169,Barcelona,2020-02-08T08:00:00+01:00,no2,69,µg/m³
1170,Barcelona,2020-02-08T07:00:00+01:00,no2,66,µg/m³
1171,Barcelona,2020-02-08T06:00:00+01:00,no2,49,µg/m³
1172,Barcelona,2020-02-08T05:00:00+01:00,no2,58,µg/m³
1173,Barcelona,2020-02-08T04:00:00+01:00,no2,45,µg/m³
1174,Barcelona,2020-02-08T03:00:00+01:00,no2,20,µg/m³
1175,Barcelona,2020-02-08T02:00:00+01:00,no2,33,µg/m³
1176,Barcelona,2020-02-08T01:00:00+01:00,no2,50,µg/m³
1177,Barcelona,2020-02-08T00:00:00+01:00,no2,80,µg/m³
1178,Barcelona,2020-02-07T23:00:00+01:00,no2,85,µg/m³
1179,Barcelona,2020-02-07T22:00:00+01:00,no2,58,µg/m³
1180,Barcelona,2020-02-07T21:00:00+01:00,no2,68,µg/m³
1181,Barcelona,2020-02-07T20:00:00+01:00,no2,52,µg/m³
1182,Barcelona,2020-02-07T19:00:00+01:00,no2,40,µg/m³
1183,Barcelona,2020-02-07T18:00:00+01:00,no2,23,µg/m³
1184,Barcelona,2020-02-07T17:00:00+01:00,no2,25,µg/m³
1185,Barcelona,2020-02-07T15:00:00+01:00,no2,33,µg/m³
1186,Barcelona,2020-02-07T14:00:00+01:00,no2,39,µg/m³
1187,Barcelona,2020-02-07T13:00:00+01:00,no2,34,µg/m³
1188,Barcelona,2020-02-07T12:00:00+01:00,no2,47,µg/m³
1189,Barcelona,2020-02-07T11:00:00+01:00,no2,92,µg/m³
1190,Barcelona,2020-02-07T10:00:00+01:00,no2,95,µg/m³
1191,Barcelona,2020-02-07T09:00:00+01:00,no2,76,µg/m³
1192,Barcelona,2020-02-07T08:00:00+01:00,no2,61,µg/m³
1193,Barcelona,2020-02-07T07:00:00+01:00,no2,55,µg/m³
1194,Barcelona,2020-02-07T06:00:00+01:00,no2,61,µg/m³
1195,Barcelona,2020-02-07T05:00:00+01:00,no2,65,µg/m³
1196,Barcelona,2020-02-07T04:00:00+01:00,no2,68,µg/m³
1197,Barcelona,2020-02-07T03:00:00+01:00,no2,67,µg/m³
1198,Barcelona,2020-02-07T02:00:00+01:00,no2,61,µg/m³
1199,Barcelona,2020-02-07T01:00:00+01:00,no2,41,µg/m³
1200,Barcelona,2020-02-06T23:00:00+01:00,no2,52,µg/m³
1201,Barcelona,2020-02-06T22:00:00+01:00,no2,42,µg/m³
1202,Barcelona,2020-02-06T21:00:00+01:00,no2,65,µg/m³
1203,Barcelona,2020-02-06T20:00:00+01:00,no2,61,µg/m³
1204,Barcelona,2020-02-06T19:00:00+01:00,no2,34,µg/m³
1205,Barcelona,2020-02-06T18:00:00+01:00,no2,19,µg/m³
1206,Barcelona,2020-02-06T17:00:00+01:00,no2,17,µg/m³
1207,Barcelona,2020-02-06T16:00:00+01:00,no2,12,µg/m³
1208,Barcelona,2020-02-06T15:00:00+01:00,no2,10,µg/m³
1209,Barcelona,2020-02-06T14:00:00+01:00,no2,13,µg/m³
1210,Barcelona,2020-02-06T13:00:00+01:00,no2,34,µg/m³
1211,Barcelona,2020-02-06T12:00:00+01:00,no2,29,µg/m³
1212,Barcelona,2020-02-06T11:00:00+01:00,no2,46,µg/m³
1213,Barcelona,2020-02-06T10:00:00+01:00,no2,81,µg/m³
1214,Barcelona,2020-02-06T09:00:00+01:00,no2,58,µg/m³
1215,Barcelona,2020-02-06T08:00:00+01:00,no2,60,µg/m³
1216,Barcelona,2020-02-06T07:00:00+01:00,no2,53,µg/m³
1217,Barcelona,2020-02-06T06:00:00+01:00,no2,53,µg/m³
1218,Barcelona,2020-02-06T05:00:00+01:00,no2,53,µg/m³
1219,Barcelona,2020-02-06T04:00:00+01:00,no2,47,µg/m³
1220,Barcelona,2020-02-06T03:00:00+01:00,no2,39,µg/m³
1221,Barcelona,2020-02-06T02:00:00+01:00,no2,28,µg/m³
1222,Barcelona,2020-02-06T01:00:00+01:00,no2,60,µg/m³
1223,Barcelona,2020-02-06T00:00:00+01:00,no2,27,µg/m³
1224,Barcelona,2020-02-05T23:00:00+01:00,no2,41,µg/m³
1225,Barcelona,2020-02-05T22:00:00+01:00,no2,59,µg/m³
1226,Barcelona,2020-02-05T21:00:00+01:00,no2,93,µg/m³
1227,Barcelona,2020-02-05T20:00:00+01:00,no2,93,µg/m³
1228,Barcelona,2020-02-05T19:00:00+01:00,no2,56,µg/m³
1229,Barcelona,2020-02-05T18:00:00+01:00,no2,30,µg/m³
1230,Barcelona,2020-02-05T17:00:00+01:00,no2,23,µg/m³
1231,Barcelona,2020-02-05T16:00:00+01:00,no2,21,µg/m³
1232,Barcelona,2020-02-05T15:00:00+01:00,no2,28,µg/m³
1233,Barcelona,2020-02-05T14:00:00+01:00,no2,24,µg/m³
1234,Barcelona,2020-02-05T13:00:00+01:00,no2,14,µg/m³
1235,Barcelona,2020-02-05T12:00:00+01:00,no2,20,µg/m³
1236,Barcelona,2020-02-05T11:00:00+01:00,no2,23,µg/m³
1237,Barcelona,2020-02-05T10:00:00+01:00,no2,33,µg/m³
1238,Barcelona,2020-02-05T09:00:00+01:00,no2,38,µg/m³
1239,Barcelona,2020-02-05T08:00:00+01:00,no2,36,µg/m³
1240,Barcelona,2020-02-05T07:00:00+01:00,no2,19,µg/m³
1241,Barcelona,2020-02-05T06:00:00+01:00,no2,9,µg/m³
1242,Barcelona,2020-02-05T05:00:00+01:00,no2,11,µg/m³
1243,Barcelona,2020-02-05T04:00:00+01:00,no2,8,µg/m³
1244,Barcelona,2020-02-05T03:00:00+01:00,no2,6,µg/m³
1245,Barcelona,2020-02-05T02:00:00+01:00,no2,5,µg/m³
1246,Barcelona,2020-02-05T01:00:00+01:00,no2,9,µg/m³
1247,Barcelona,2020-02-05T00:00:00+01:00,no2,30,µg/m³
1248,Barcelona,2020-02-04T23:00:00+01:00,no2,44,µg/m³
1249,Barcelona,2020-02-04T22:00:00+01:00,no2,39,µg/m³
1250,Barcelona,2020-02-04T21:00:00+01:00,no2,40,µg/m³
1251,Barcelona,2020-02-04T20:00:00+01:00,no2,43,µg/m³
1252,Barcelona,2020-02-04T19:00:00+01:00,no2,26,µg/m³
1253,Barcelona,2020-02-04T18:00:00+01:00,no2,18,µg/m³
1254,Barcelona,2020-02-04T17:00:00+01:00,no2,17,µg/m³
1255,Barcelona,2020-02-04T16:00:00+01:00,no2,23,µg/m³
1256,Barcelona,2020-02-04T14:00:00+01:00,no2,19,µg/m³
1257,Barcelona,2020-02-04T13:00:00+01:00,no2,19,µg/m³
1258,Barcelona,2020-02-04T12:00:00+01:00,no2,17,µg/m³
1259,Barcelona,2020-02-04T11:00:00+01:00,no2,18,µg/m³
1260,Barcelona,2020-02-04T10:00:00+01:00,no2,23,µg/m³
1261,Barcelona,2020-02-04T09:00:00+01:00,no2,18,µg/m³
1262,Barcelona,2020-02-04T08:00:00+01:00,no2,13,µg/m³
1263,Barcelona,2020-02-04T07:00:00+01:00,no2,8,µg/m³
1264,Barcelona,2020-02-04T06:00:00+01:00,no2,6,µg/m³
1265,Barcelona,2020-02-04T05:00:00+01:00,no2,7,µg/m³
1266,Barcelona,2020-02-04T04:00:00+01:00,no2,39,µg/m³
1267,Barcelona,2020-02-04T03:00:00+01:00,no2,21,µg/m³
1268,Barcelona,2020-02-04T02:00:00+01:00,no2,46,µg/m³
1269,Barcelona,2020-02-04T01:00:00+01:00,no2,52,µg/m³
1270,Barcelona,2020-02-04T00:00:00+01:00,no2,64,µg/m³
1271,Barcelona,2020-02-03T23:00:00+01:00,no2,66,µg/m³
1272,Barcelona,2020-02-03T22:00:00+01:00,no2,66,µg/m³
1273,Barcelona,2020-02-03T21:00:00+01:00,no2,74,µg/m³
1274,Barcelona,2020-02-03T20:00:00+01:00,no2,81,µg/m³
1275,Barcelona,2020-02-03T19:00:00+01:00,no2,65,µg/m³
1276,Barcelona,2020-02-03T18:00:00+01:00,no2,43,µg/m³
1277,Barcelona,2020-02-03T17:00:00+01:00,no2,40,µg/m³
1278,Barcelona,2020-02-03T16:00:00+01:00,no2,47,µg/m³
1279,Barcelona,2020-02-03T15:00:00+01:00,no2,80,µg/m³
1280,Barcelona,2020-02-03T14:00:00+01:00,no2,68,µg/m³
1281,Barcelona,2020-02-03T13:00:00+01:00,no2,75,µg/m³
1282,Barcelona,2020-02-03T12:00:00+01:00,no2,68,µg/m³
1283,Barcelona,2020-02-03T11:00:00+01:00,no2,61,µg/m³
1284,Barcelona,2020-02-03T10:00:00+01:00,no2,63,µg/m³
1285,Barcelona,2020-02-03T09:00:00+01:00,no2,35,µg/m³
1286,Barcelona,2020-02-03T08:00:00+01:00,no2,21,µg/m³
1287,Barcelona,2020-02-03T07:00:00+01:00,no2,23,µg/m³
1288,Barcelona,2020-02-03T06:00:00+01:00,no2,35,µg/m³
1289,Barcelona,2020-02-03T05:00:00+01:00,no2,39,µg/m³
1290,Barcelona,2020-02-03T04:00:00+01:00,no2,38,µg/m³
1291,Barcelona,2020-02-03T03:00:00+01:00,no2,36,µg/m³
1292,Barcelona,2020-02-03T02:00:00+01:00,no2,34,µg/m³
1293,Barcelona,2020-02-03T01:00:00+01:00,no2,31,µg/m³
1294,Barcelona,2020-02-03T00:00:00+01:00,no2,27,µg/m³
1295,Barcelona,2020-02-02T23:00:00+01:00,no2,17,µg/m³
1296,Barcelona,2020-02-02T22:00:00+01:00,no2,23,µg/m³
1297,Barcelona,2020-02-02T21:00:00+01:00,no2,53,µg/m³
1298,Barcelona,2020-02-02T20:00:00+01:00,no2,27,µg/m³
1299,Barcelona,2020-02-02T19:00:00+01:00,no2,19,µg/m³
1300,Barcelona,2020-02-02T18:00:00+01:00,no2,10,µg/m³
1301,Barcelona,2020-02-02T17:00:00+01:00,no2,8,µg/m³
1302,Barcelona,2020-02-02T16:00:00+01:00,no2,18,µg/m³
1303,Barcelona,2020-02-02T15:00:00+01:00,no2,21,µg/m³
1304,Barcelona,2020-02-02T14:00:00+01:00,no2,9,µg/m³
1305,Barcelona,2020-02-02T13:00:00+01:00,no2,6,µg/m³
1306,Barcelona,2020-02-02T12:00:00+01:00,no2,8,µg/m³
1307,Barcelona,2020-02-02T11:00:00+01:00,no2,30,µg/m³
1308,Barcelona,2020-02-02T10:00:00+01:00,no2,35,µg/m³
1309,Barcelona,2020-02-02T09:00:00+01:00,no2,30,µg/m³
1310,Barcelona,2020-02-02T08:00:00+01:00,no2,29,µg/m³
1311,Barcelona,2020-02-02T07:00:00+01:00,no2,33,µg/m³
1312,Barcelona,2020-02-02T06:00:00+01:00,no2,43,µg/m³
1313,Barcelona,2020-02-02T05:00:00+01:00,no2,53,µg/m³
1314,Barcelona,2020-02-02T04:00:00+01:00,no2,64,µg/m³
1315,Barcelona,2020-02-02T03:00:00+01:00,no2,65,µg/m³
1316,Barcelona,2020-02-02T02:00:00+01:00,no2,66,µg/m³
1317,Barcelona,2020-02-02T01:00:00+01:00,no2,74,µg/m³
1318,Barcelona,2020-02-02T00:00:00+01:00,no2,77,µg/m³
1319,Barcelona,2020-02-01T23:00:00+01:00,no2,79,µg/m³
1320,Barcelona,2020-02-01T22:00:00+01:00,no2,73,µg/m³
1321,Barcelona,2020-02-01T21:00:00+01:00,no2,76,µg/m³
1322,Barcelona,2020-02-01T20:00:00+01:00,no2,74,µg/m³
1323,Barcelona,2020-02-01T19:00:00+01:00,no2,71,µg/m³
1324,Barcelona,2020-02-01T18:00:00+01:00,no2,60,µg/m³
1325,Barcelona,2020-02-01T17:00:00+01:00,no2,40,µg/m³
1326,Barcelona,2020-02-01T16:00:00+01:00,no2,22,µg/m³
1327,Barcelona,2020-02-01T15:00:00+01:00,no2,9,µg/m³
1328,Barcelona,2020-02-01T14:00:00+01:00,no2,11,µg/m³
1329,Barcelona,2020-02-01T13:00:00+01:00,no2,41,µg/m³
1330,Barcelona,2020-02-01T12:00:00+01:00,no2,64,µg/m³
1331,Barcelona,2020-02-01T11:00:00+01:00,no2,52,µg/m³
1332,Barcelona,2020-02-01T10:00:00+01:00,no2,39,µg/m³
1333,Barcelona,2020-02-01T09:00:00+01:00,no2,23,µg/m³
1334,Barcelona,2020-02-01T08:00:00+01:00,no2,22,µg/m³
1335,Barcelona,2020-02-01T07:00:00+01:00,no2,43,µg/m³
1336,Barcelona,2020-02-01T06:00:00+01:00,no2,39,µg/m³
1337,Barcelona,2020-02-01T05:00:00+01:00,no2,41,µg/m³
1338,Barcelona,2020-02-01T04:00:00+01:00,no2,46,µg/m³
1339,Barcelona,2020-02-01T03:00:00+01:00,no2,55,µg/m³
1340,Barcelona,2020-02-01T02:00:00+01:00,no2,66,µg/m³
1341,Barcelona,2020-02-01T01:00:00+01:00,no2,75,µg/m³
1342,Barcelona,2020-02-01T00:00:00+01:00,no2,80,µg/m³
3082,Madrid,2020-02-29T23:00:00+01:00,pm25,7,µg/m³
3083,Madrid,2020-02-29T23:00:00+01:00,no2,20,µg/m³
3084,Madrid,2020-02-29T23:00:00+01:00,pm25,17,µg/m³
3085,Madrid,2020-02-29T22:00:00+01:00,pm25,9,µg/m³
3086,Madrid,2020-02-29T22:00:00+01:00,no2,26,µg/m³
3087,Madrid,2020-02-29T22:00:00+01:00,pm25,20,µg/m³
3088,Madrid,2020-02-29T21:00:00+01:00,pm25,10,µg/m³
3089,Madrid,2020-02-29T21:00:00+01:00,pm25,6,µg/m³
3090,Madrid,2020-02-29T21:00:00+01:00,no2,29,µg/m³
3091,Madrid,2020-02-29T20:00:00+01:00,pm25,40,µg/m³
3092,Madrid,2020-02-29T20:00:00+01:00,pm25,6,µg/m³
3093,Madrid,2020-02-29T20:00:00+01:00,no2,25,µg/m³
3094,Madrid,2020-02-29T19:00:00+01:00,pm25,22,µg/m³
3095,Madrid,2020-02-29T19:00:00+01:00,pm25,6,µg/m³
3096,Madrid,2020-02-29T19:00:00+01:00,no2,22,µg/m³
3097,Madrid,2020-02-29T18:00:00+01:00,pm25,16,µg/m³
3098,Madrid,2020-02-29T18:00:00+01:00,no2,17,µg/m³
3099,Madrid,2020-02-29T18:00:00+01:00,pm25,2,µg/m³
3100,Madrid,2020-02-29T17:00:00+01:00,pm25,31,µg/m³
3101,Madrid,2020-02-29T17:00:00+01:00,pm25,8,µg/m³
3102,Madrid,2020-02-29T17:00:00+01:00,no2,15,µg/m³
3103,Madrid,2020-02-29T16:00:00+01:00,no2,15,µg/m³
3104,Madrid,2020-02-29T16:00:00+01:00,pm25,7,µg/m³
3105,Madrid,2020-02-29T16:00:00+01:00,pm25,21,µg/m³
3106,Madrid,2020-02-29T15:00:00+01:00,no2,19,µg/m³
3107,Madrid,2020-02-29T15:00:00+01:00,pm25,8,µg/m³
3108,Madrid,2020-02-29T15:00:00+01:00,pm25,21,µg/m³
3109,Madrid,2020-02-29T14:00:00+01:00,no2,21,µg/m³
3110,Madrid,2020-02-29T14:00:00+01:00,pm25,10,µg/m³
3111,Madrid,2020-02-29T14:00:00+01:00,pm25,38,µg/m³
3112,Madrid,2020-02-29T13:00:00+01:00,pm25,10,µg/m³
3113,Madrid,2020-02-29T13:00:00+01:00,no2,20,µg/m³
3114,Madrid,2020-02-29T13:00:00+01:00,pm25,31,µg/m³
3115,Madrid,2020-02-29T12:00:00+01:00,pm25,4,µg/m³
3116,Madrid,2020-02-29T12:00:00+01:00,pm25,12,µg/m³
3117,Madrid,2020-02-29T12:00:00+01:00,no2,22,µg/m³
3118,Madrid,2020-02-29T11:00:00+01:00,pm25,9,µg/m³
3119,Madrid,2020-02-29T11:00:00+01:00,pm25,28,µg/m³
3120,Madrid,2020-02-29T11:00:00+01:00,no2,21,µg/m³
3121,Madrid,2020-02-29T10:00:00+01:00,pm25,10,µg/m³
3122,Madrid,2020-02-29T10:00:00+01:00,no2,19,µg/m³
3123,Madrid,2020-02-29T10:00:00+01:00,pm25,43,µg/m³
3124,Madrid,2020-02-29T08:00:00+01:00,pm25,20,µg/m³
3125,Madrid,2020-02-29T08:00:00+01:00,pm25,83,µg/m³
3126,Madrid,2020-02-29T08:00:00+01:00,no2,17,µg/m³
3127,Madrid,2020-02-29T07:00:00+01:00,pm25,29,µg/m³
3128,Madrid,2020-02-29T07:00:00+01:00,pm25,108,µg/m³
3129,Madrid,2020-02-29T07:00:00+01:00,no2,13,µg/m³
3130,Madrid,2020-02-29T06:00:00+01:00,pm25,28,µg/m³
3131,Madrid,2020-02-29T06:00:00+01:00,no2,19,µg/m³
3132,Madrid,2020-02-29T06:00:00+01:00,pm25,97,µg/m³
3133,Madrid,2020-02-29T02:00:00+01:00,no2,86,µg/m³
3134,Madrid,2020-02-29T02:00:00+01:00,pm25,103,µg/m³
3135,Madrid,2020-02-29T02:00:00+01:00,pm25,44,µg/m³
3136,Madrid,2020-02-29T01:00:00+01:00,pm25,43,µg/m³
3137,Madrid,2020-02-29T01:00:00+01:00,no2,100,µg/m³
3138,Madrid,2020-02-29T01:00:00+01:00,pm25,94,µg/m³
3139,Madrid,2020-02-29T00:00:00+01:00,pm25,38,µg/m³
3140,Madrid,2020-02-29T00:00:00+01:00,no2,93,µg/m³
3141,Madrid,2020-02-29T00:00:00+01:00,pm25,90,µg/m³
3142,Madrid,2020-02-28T23:00:00+01:00,pm25,91,µg/m³
3143,Madrid,2020-02-28T23:00:00+01:00,pm25,39,µg/m³
3144,Madrid,2020-02-28T23:00:00+01:00,no2,97,µg/m³
3145,Madrid,2020-02-28T22:00:00+01:00,pm25,36,µg/m³
3146,Madrid,2020-02-28T22:00:00+01:00,pm25,85,µg/m³
3147,Madrid,2020-02-28T22:00:00+01:00,no2,93,µg/m³
3148,Madrid,2020-02-28T21:00:00+01:00,pm25,30,µg/m³
3149,Madrid,2020-02-28T21:00:00+01:00,no2,80,µg/m³
3150,Madrid,2020-02-28T21:00:00+01:00,pm25,85,µg/m³
3151,Madrid,2020-02-28T20:00:00+01:00,pm25,85,µg/m³
3152,Madrid,2020-02-28T20:00:00+01:00,no2,64,µg/m³
3153,Madrid,2020-02-28T20:00:00+01:00,pm25,31,µg/m³
3154,Madrid,2020-02-28T19:00:00+01:00,no2,40,µg/m³
3155,Madrid,2020-02-28T19:00:00+01:00,pm25,28,µg/m³
3156,Madrid,2020-02-28T19:00:00+01:00,pm25,76,µg/m³
3157,Madrid,2020-02-28T18:00:00+01:00,pm25,25,µg/m³
3158,Madrid,2020-02-28T18:00:00+01:00,pm25,72,µg/m³
3159,Madrid,2020-02-28T18:00:00+01:00,no2,38,µg/m³
3160,Madrid,2020-02-28T17:00:00+01:00,no2,33,µg/m³
3161,Madrid,2020-02-28T17:00:00+01:00,pm25,35,µg/m³
3162,Madrid,2020-02-28T17:00:00+01:00,pm25,22,µg/m³
3163,Madrid,2020-02-28T16:00:00+01:00,no2,45,µg/m³
3164,Madrid,2020-02-28T16:00:00+01:00,pm25,46,µg/m³
